year,count,arat,blm,bollen,freedomhouse,hadenius,pacl,polity,polyarchy,prc,vanhanen
1960,Brazil,6,NA,10,NA,NA,2,17,NA,4,3
1960,Bulgaria,2,NA,3,NA,NA,1,4,NA,1,1
1960,Burkina Faso,3,NA,2,NA,NA,1,4,NA,1,1
1960,Cambodia,3,NA,4,NA,NA,1,2,NA,1,1
1960,Cameroon,6,NA,8,NA,NA,1,5,NA,1,2
1960,Canada,6,NA,10,NA,NA,2,21,NA,4,5
1960,Central African Republic,4,NA,7,NA,NA,1,4,NA,1,1
1960,Chad,4,NA,6,NA,NA,1,2,NA,4,2
1960,Chile,6,NA,10,NA,NA,2,16,NA,4,3
1960,China,2,NA,3,NA,NA,1,3,NA,1,1
1960,Colombia,5,NA,7,NA,NA,2,18,NA,4,1
1960,Congo Brazzaville,5,NA,8,NA,NA,2,15,NA,4,2
1960,Congo Kinshasa,4,NA,5,NA,NA,1,11,NA,1,1
1960,Costa Rica,6,3,10,NA,NA,2,21,NA,4,3
1960,Cote d'Ivoire,3,NA,5,NA,NA,1,2,NA,1,1
1960,Cuba,1,NA,2,NA,NA,1,7,NA,1,1
1960,Cyprus,5,NA,9,NA,NA,1,19,NA,NA,4
1960,Czechoslovakia,2,NA,3,NA,NA,1,4,NA,1,1
1960,Denmark,6,NA,10,NA,NA,2,21,NA,4,7
1960,Dominican Rep,2,NA,3,NA,NA,1,2,NA,1,1
1960,Ecuador,5,NA,9,NA,NA,2,13,NA,3,2
1960,Egypt,3,NA,4,NA,NA,1,4,NA,1,1
1960,El Salvador,1,1,6,NA,NA,1,8,NA,1,1
1960,Ethiopia,2,NA,4,NA,NA,1,2,NA,1,1
1960,Finland,6,NA,10,NA,NA,2,21,NA,4,7
1960,France,6,NA,9,NA,NA,2,16,NA,4,3
1960,Gabon,5,NA,7,NA,NA,1,4,NA,1,4
1960,Germany East,3,NA,2,NA,NA,1,2,NA,1,1
1960,Germany West,5,NA,9,NA,NA,2,21,NA,4,6
1960,Ghana,3,NA,6,NA,NA,1,3,NA,1,1
1960,Greece,6,NA,9,NA,NA,2,15,NA,3,5
1960,Guatemala,5,1,7,NA,NA,2,6,NA,1,2
1960,Guinea,3,NA,NA,NA,NA,1,2,NA,1,1
1960,Haiti,3,NA,4,NA,NA,1,3,NA,1,2
1960,Honduras,5,2,8,NA,NA,2,10,NA,3,1
1960,Hungary,2,NA,3,NA,NA,1,4,NA,1,1
1960,Iceland,6,NA,10,NA,NA,2,NA,NA,NA,7
1960,India,6,NA,10,NA,NA,2,20,NA,4,4
1960,Indonesia,2,NA,3,NA,NA,1,6,NA,1,1
1960,Iran,2,NA,4,NA,NA,1,1,NA,1,1
1960,Iraq,1,NA,2,NA,NA,1,6,NA,1,1
1960,Ireland,6,NA,10,NA,NA,2,21,NA,4,5
1960,Israel,6,NA,10,NA,NA,2,21,NA,4,6
1960,Italy,7,NA,10,NA,NA,2,21,NA,4,7
1960,Jamaica,NA,NA,10,NA,NA,NA,21,NA,NA,NA
1960,Japan,7,NA,10,NA,NA,2,21,NA,NA,4
1960,Jordan,2,NA,4,NA,NA,1,2,NA,1,1
1960,Korea North,2,NA,3,NA,NA,1,3,NA,1,1
1960,Korea South,3,NA,6,NA,NA,2,19,NA,4,2
1960,Laos,4,NA,6,NA,NA,1,10,NA,1,1
1960,Lebanon,6,NA,9,NA,NA,2,13,NA,3,4
1960,Liberia,2,NA,5,NA,NA,1,5,NA,1,1
1960,Libya,2,NA,4,NA,NA,1,4,NA,1,1
1960,Luxembourg,6,NA,10,NA,NA,2,NA,NA,NA,7
1960,Madagascar,5,NA,10,NA,NA,1,10,NA,4,1
1960,Malaysia,5,NA,9,NA,NA,1,21,NA,4,3
1960,Mali,3,NA,6,NA,NA,1,4,NA,1,1
1960,Mauritania,3,NA,7,NA,NA,1,7,NA,1,1
1960,Mexico,4,NA,9,NA,NA,1,5,NA,1,1
1960,Mongolia,2,NA,3,NA,NA,1,4,NA,1,1
1960,Morocco,1,NA,5,NA,NA,1,6,NA,1,1
1960,Myanmar (Burma),5,NA,7,NA,NA,2,19,NA,4,2
1960,Nepal,1,NA,4,NA,NA,1,1,NA,1,1
1960,Netherlands,6,NA,10,NA,NA,2,21,NA,4,8
1960,New Zealand,6,NA,10,NA,NA,2,21,NA,4,6
1960,Nicaragua,4,1,5,NA,NA,1,3,NA,1,1
1960,Niger,3,NA,6,NA,NA,1,4,NA,1,1
1960,Nigeria,6,NA,9,NA,NA,2,19,NA,3,3
1960,Norway,6,NA,10,NA,NA,2,21,NA,4,6
1960,Oman,NA,NA,NA,NA,NA,NA,1,NA,NA,1
1960,Pakistan,1,NA,NA,NA,NA,1,4,NA,1,1
1960,Panama,5,NA,8,NA,NA,2,15,NA,1,3
1960,Paraguay,3,NA,4,NA,NA,1,2,NA,1,1
1960,Peru,5,NA,9,NA,NA,2,16,NA,3,2
1960,Philippines,5,NA,10,NA,NA,2,16,NA,4,3
1960,Poland,2,NA,3,NA,NA,1,4,NA,1,1
1960,Portugal,2,NA,5,NA,NA,1,2,NA,1,1
1960,Romania,2,NA,3,NA,NA,1,4,NA,1,1
1960,Russia (USSR),2,NA,NA,NA,NA,1,4,NA,1,1
1960,Saudi Arabia,1,NA,2,NA,NA,1,1,NA,1,1
1960,Senegal,3,NA,5,NA,NA,1,10,NA,3,1
1960,Singapore,NA,NA,9,NA,NA,NA,18,NA,NA,NA
1960,Somalia,5,NA,9,NA,NA,2,18,NA,4,2
1960,South Africa,3,NA,7,NA,NA,1,15,NA,1,2
1960,Spain,1,NA,2,NA,NA,1,4,NA,1,1
1960,Sri Lanka,6,NA,10,NA,NA,2,18,NA,4,4
1960,Sudan,1,NA,3,NA,NA,1,4,NA,1,1
1960,Sweden,6,NA,10,NA,NA,2,21,NA,4,6
1960,Switzerland,6,NA,10,NA,NA,2,21,NA,4,5
1960,Syria,NA,NA,4,NA,NA,1,NA,NA,1,NA
1960,Taiwan,NA,NA,NA,NA,NA,1,3,NA,1,1
1960,Thailand,1,NA,4,NA,NA,1,4,NA,1,1
1960,Togo,3,NA,NA,NA,NA,1,5,NA,4,2
1960,Tunisia,3,NA,9,NA,NA,1,2,NA,1,1
1960,Turkey,1,NA,6,NA,NA,1,18,NA,1,1
1960,United Kingdom,6,NA,10,NA,NA,2,21,NA,4,6
1960,United States,6,NA,10,NA,NA,2,21,NA,4,5
1960,Uruguay,6,NA,10,NA,NA,2,19,NA,4,5
1960,Venezuela,5,NA,8,NA,NA,2,17,NA,4,5
1960,Vietnam North,3,NA,4,NA,NA,NA,3,NA,1,1
1960,Vietnam South,4,NA,6,NA,NA,NA,8,NA,1,1
1960,Yemen North,1,NA,2,NA,NA,1,5,NA,1,1
1960,Yugoslavia (Serbia),4,NA,5,NA,NA,1,4,NA,1,1
1961,Afghanistan,2,NA,NA,NA,NA,1,1,NA,1,1
1961,Albania,2,NA,NA,NA,NA,1,2,NA,1,1
1961,Argentina,4,NA,NA,NA,NA,2,10,NA,3,5
1961,Australia,6,NA,NA,NA,NA,2,21,NA,4,6
1961,Austria,7,NA,NA,NA,NA,2,21,NA,4,7
1961,Belgium,6,NA,NA,NA,NA,2,21,NA,4,7
1961,Benin,3,NA,NA,NA,NA,1,13,NA,4,3
1961,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,1
1961,Bolivia,4,NA,NA,NA,NA,1,8,NA,3,2
1961,Brazil,6,NA,NA,NA,NA,2,16,NA,4,3
1961,Bulgaria,2,NA,NA,NA,NA,1,4,NA,1,1
1961,Burkina Faso,3,NA,NA,NA,NA,1,4,NA,1,1
1961,Cambodia,3,NA,NA,NA,NA,1,2,NA,1,1
1961,Cameroon,6,NA,NA,NA,NA,1,5,NA,1,2
1961,Canada,6,NA,NA,NA,NA,2,21,NA,4,5
1961,Central African Republic,4,NA,NA,NA,NA,1,4,NA,1,1
1961,Chad,3,NA,NA,NA,NA,1,2,NA,4,1
1961,Chile,6,NA,NA,NA,NA,2,16,NA,4,3
1961,China,2,NA,NA,NA,NA,1,3,NA,1,1
1961,Colombia,5,NA,NA,NA,NA,2,18,NA,4,1
1961,Congo Brazzaville,5,NA,NA,NA,NA,2,15,NA,4,1
1961,Congo Kinshasa,4,NA,NA,NA,NA,1,11,NA,1,1
1961,Costa Rica,6,3,NA,NA,NA,2,21,NA,4,3
1961,Cote d'Ivoire,3,NA,NA,NA,NA,1,2,NA,1,1
1961,Cuba,1,NA,NA,NA,NA,1,4,NA,1,1
1961,Cyprus,6,NA,NA,NA,NA,1,19,NA,NA,4
1961,Czechoslovakia,2,NA,NA,NA,NA,1,4,NA,1,1
1961,Denmark,6,NA,NA,NA,NA,2,21,NA,4,8
1961,Dominican Rep,3,NA,NA,NA,NA,1,11,NA,1,1
1961,Ecuador,5,NA,NA,NA,NA,2,10,NA,3,2
1961,Egypt,1,NA,NA,NA,NA,1,4,NA,1,1
1961,El Salvador,2,1,NA,NA,NA,1,8,NA,1,1
1961,Ethiopia,2,NA,NA,NA,NA,1,2,NA,1,1
1961,Finland,6,NA,NA,NA,NA,2,21,NA,4,7
1961,France,6,NA,NA,NA,NA,2,16,NA,4,3
1961,Gabon,3,NA,NA,NA,NA,1,4,NA,1,1
1961,Germany East,2,NA,NA,NA,NA,1,2,NA,1,1
1961,Germany West,6,NA,NA,NA,NA,2,21,NA,4,7
1961,Ghana,3,NA,NA,NA,NA,1,3,NA,1,1
1961,Greece,6,NA,NA,NA,NA,2,15,NA,3,5
1961,Guatemala,4,1,NA,NA,NA,2,6,NA,1,2
1961,Guinea,3,NA,NA,NA,NA,1,2,NA,1,1
1961,Haiti,3,NA,NA,NA,NA,1,2,NA,1,1
1961,Honduras,5,2,NA,NA,NA,2,10,NA,3,1
1961,Hungary,3,NA,NA,NA,NA,1,4,NA,1,1
1961,Iceland,6,NA,NA,NA,NA,2,NA,NA,NA,7
1961,India,6,NA,NA,NA,NA,2,20,NA,4,4
1961,Indonesia,2,NA,NA,NA,NA,1,6,NA,1,1
1961,Iran,1,NA,NA,NA,NA,1,1,NA,1,1
1961,Iraq,1,NA,NA,NA,NA,1,6,NA,1,1
1961,Ireland,6,NA,NA,NA,NA,2,21,NA,4,5
1961,Israel,6,NA,NA,NA,NA,2,21,NA,4,7
1961,Italy,7,NA,NA,NA,NA,2,21,NA,4,7
1961,Japan,7,NA,NA,NA,NA,2,21,NA,NA,4
1961,Jordan,2,NA,NA,NA,NA,1,2,NA,1,1
1961,Korea North,2,NA,NA,NA,NA,1,3,NA,1,1
1961,Korea South,1,NA,NA,NA,NA,1,4,NA,1,1
1961,Kuwait,NA,NA,NA,NA,NA,1,NA,NA,NA,1
1961,Laos,4,NA,NA,NA,NA,1,11,NA,1,1
1961,Lebanon,5,NA,NA,NA,NA,2,13,NA,3,4
1961,Liberia,3,NA,NA,NA,NA,1,5,NA,1,1
1961,Libya,2,NA,NA,NA,NA,1,4,NA,1,1
1961,Luxembourg,6,NA,NA,NA,NA,2,NA,NA,NA,7
1961,Madagascar,5,NA,NA,NA,NA,1,10,NA,4,1
1961,Malaysia,5,NA,NA,NA,NA,1,21,NA,4,3
1961,Mali,3,NA,NA,NA,NA,1,4,NA,1,1
1961,Mauritania,3,NA,NA,NA,NA,1,7,NA,1,1
1961,Mexico,4,NA,NA,NA,NA,1,5,NA,1,1
1961,Mongolia,2,NA,NA,NA,NA,1,4,NA,1,1
1961,Morocco,1,NA,NA,NA,NA,1,7,NA,1,1
1961,Myanmar (Burma),5,NA,NA,NA,NA,2,19,NA,4,2
1961,Nepal,1,NA,NA,NA,NA,1,1,NA,1,1
1961,Netherlands,6,NA,NA,NA,NA,2,21,NA,4,8
1961,New Zealand,6,NA,NA,NA,NA,2,21,NA,4,6
1961,Nicaragua,4,1,NA,NA,NA,1,3,NA,1,1
1961,Niger,3,NA,NA,NA,NA,1,4,NA,1,1
1961,Nigeria,6,NA,NA,NA,NA,2,19,NA,3,3
1961,Norway,6,NA,NA,NA,NA,2,21,NA,4,6
1961,Oman,NA,NA,NA,NA,NA,NA,1,NA,NA,1
1961,Pakistan,1,NA,NA,NA,NA,1,4,NA,1,1
1961,Panama,5,NA,NA,NA,NA,2,15,NA,1,3
1961,Paraguay,3,NA,NA,NA,NA,1,2,NA,1,1
1961,Peru,6,NA,NA,NA,NA,2,16,NA,3,2
1961,Philippines,5,NA,NA,NA,NA,2,16,NA,4,3
1961,Poland,2,NA,NA,NA,NA,1,4,NA,1,1
1961,Portugal,2,NA,NA,NA,NA,1,2,NA,1,1
1961,Romania,2,NA,NA,NA,NA,1,4,NA,1,1
1961,Russia (USSR),2,NA,NA,NA,NA,1,4,NA,1,1
1961,Rwanda,NA,NA,NA,NA,NA,NA,6,NA,4,NA
1961,Saudi Arabia,1,NA,NA,NA,NA,1,1,NA,1,1
1961,Senegal,3,NA,NA,NA,NA,1,10,NA,3,1
1961,Sierra Leone,NA,NA,NA,NA,NA,2,17,NA,4,1
1961,Somalia,6,NA,NA,NA,NA,2,18,NA,4,2
1961,South Africa,3,NA,NA,NA,NA,1,15,NA,1,1
1961,Spain,1,NA,NA,NA,NA,1,4,NA,1,1
1961,Sri Lanka,6,NA,NA,NA,NA,2,18,NA,4,4
1961,Sudan,1,NA,NA,NA,NA,1,4,NA,1,1
1961,Sweden,6,NA,NA,NA,NA,2,21,NA,4,6
1961,Switzerland,6,NA,NA,NA,NA,2,21,NA,4,6
1961,Syria,3,NA,NA,NA,NA,1,9,NA,1,3
1961,Taiwan,NA,NA,NA,NA,NA,1,3,NA,1,1
1961,Tanzania,NA,NA,NA,NA,NA,1,5,NA,4,1
1961,Thailand,1,NA,NA,NA,NA,1,4,NA,1,1
1961,Togo,3,NA,NA,NA,NA,1,5,NA,1,1
1961,Tunisia,3,NA,NA,NA,NA,1,2,NA,1,1
1961,Turkey,5,NA,NA,NA,NA,2,20,NA,1,6
1961,United Kingdom,7,NA,NA,NA,NA,2,21,NA,4,6
1961,United States,6,NA,NA,NA,NA,2,21,NA,4,5
1961,Uruguay,7,NA,NA,NA,NA,2,19,NA,4,5
1961,Venezuela,5,NA,NA,NA,NA,2,17,NA,4,5
1961,Vietnam North,3,NA,NA,NA,NA,NA,3,NA,1,1
1961,Vietnam South,4,NA,NA,NA,NA,NA,8,NA,1,1
1961,Yemen North,1,NA,NA,NA,NA,1,5,NA,1,1
1961,Yugoslavia (Serbia),4,NA,NA,NA,NA,1,4,NA,1,1
1962,Afghanistan,2,NA,NA,NA,NA,1,1,NA,1,1
1962,Albania,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Algeria,NA,NA,NA,NA,NA,1,3,NA,1,1
1962,Argentina,1,NA,NA,NA,NA,1,10,NA,3,1
1962,Australia,6,NA,NA,NA,NA,2,21,NA,4,6
1962,Austria,6,NA,NA,NA,NA,2,21,NA,4,7
1962,Belgium,6,NA,NA,NA,NA,2,21,NA,4,7
1962,Benin,3,NA,NA,NA,NA,1,13,NA,4,3
1962,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,1
1962,Bolivia,4,NA,NA,NA,NA,1,8,NA,3,2
1962,Brazil,6,NA,NA,NA,NA,2,16,NA,4,3
1962,Bulgaria,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Burkina Faso,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Burundi,NA,NA,NA,NA,NA,1,11,NA,1,1
1962,Cambodia,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Cameroon,6,NA,NA,NA,NA,1,5,NA,1,2
1962,Canada,6,NA,NA,NA,NA,2,21,NA,4,6
1962,Central African Republic,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Chad,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Chile,6,NA,NA,NA,NA,2,16,NA,4,3
1962,China,3,NA,NA,NA,NA,1,3,NA,1,1
1962,Colombia,5,NA,NA,NA,NA,2,18,NA,4,2
1962,Congo Brazzaville,5,NA,NA,NA,NA,2,15,NA,4,1
1962,Congo Kinshasa,4,NA,NA,NA,NA,1,11,NA,1,1
1962,Costa Rica,6,3,NA,NA,NA,2,21,NA,4,3
1962,Cote d'Ivoire,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Cuba,1,NA,NA,NA,NA,1,4,NA,1,1
1962,Cyprus,6,NA,NA,NA,NA,1,19,NA,NA,4
1962,Czechoslovakia,2,NA,NA,NA,NA,1,4,NA,1,1
1962,Denmark,6,NA,NA,NA,NA,2,21,NA,4,7
1962,Dominican Rep,2,NA,NA,NA,NA,1,19,NA,2,3
1962,Ecuador,6,NA,NA,NA,NA,2,10,NA,3,2
1962,Egypt,3,NA,NA,NA,NA,1,4,NA,1,1
1962,El Salvador,4,1,NA,NA,NA,1,8,NA,1,1
1962,Ethiopia,2,NA,NA,NA,NA,1,2,NA,1,1
1962,Finland,6,NA,NA,NA,NA,2,21,NA,4,6
1962,France,6,NA,NA,NA,NA,2,16,NA,4,3
1962,Gabon,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Germany East,2,NA,NA,NA,NA,1,2,NA,1,1
1962,Germany West,5,NA,NA,NA,NA,2,21,NA,4,7
1962,Ghana,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Greece,6,NA,NA,NA,NA,2,15,NA,3,5
1962,Guatemala,5,1,NA,NA,NA,2,6,NA,1,2
1962,Guinea,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Haiti,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Honduras,5,2,NA,NA,NA,2,10,NA,3,1
1962,Hungary,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Iceland,6,NA,NA,NA,NA,2,NA,NA,NA,7
1962,India,6,NA,NA,NA,NA,2,20,NA,4,3
1962,Indonesia,2,NA,NA,NA,NA,1,6,NA,1,1
1962,Iran,1,NA,NA,NA,NA,1,1,NA,1,1
1962,Iraq,1,NA,NA,NA,NA,1,6,NA,1,1
1962,Ireland,6,NA,NA,NA,NA,2,21,NA,4,5
1962,Israel,6,NA,NA,NA,NA,2,21,NA,4,7
1962,Italy,6,NA,NA,NA,NA,2,21,NA,4,7
1962,Jamaica,NA,NA,NA,NA,NA,2,21,NA,4,4
1962,Japan,7,NA,NA,NA,NA,2,21,NA,NA,4
1962,Jordan,2,NA,NA,NA,NA,1,2,NA,1,1
1962,Korea North,3,NA,NA,NA,NA,1,3,NA,1,1
1962,Korea South,1,NA,NA,NA,NA,1,4,NA,1,1
1962,Kuwait,NA,NA,NA,NA,NA,1,NA,NA,NA,1
1962,Laos,4,NA,NA,NA,NA,1,11,NA,1,1
1962,Lebanon,4,NA,NA,NA,NA,2,13,NA,3,4
1962,Liberia,3,NA,NA,NA,NA,1,5,NA,1,1
1962,Libya,2,NA,NA,NA,NA,1,4,NA,1,1
1962,Luxembourg,6,NA,NA,NA,NA,2,NA,NA,NA,7
1962,Madagascar,5,NA,NA,NA,NA,1,10,NA,4,1
1962,Malaysia,5,NA,NA,NA,NA,1,21,NA,4,3
1962,Mali,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Mauritania,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Mexico,4,NA,NA,NA,NA,1,5,NA,1,1
1962,Mongolia,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Morocco,2,NA,NA,NA,NA,1,7,NA,1,1
1962,Myanmar (Burma),1,NA,NA,NA,NA,1,5,NA,1,1
1962,Nepal,1,NA,NA,NA,NA,1,2,NA,1,1
1962,Netherlands,6,NA,NA,NA,NA,2,21,NA,4,8
1962,New Zealand,6,NA,NA,NA,NA,2,21,NA,4,6
1962,Nicaragua,4,1,NA,NA,NA,1,3,NA,1,1
1962,Niger,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Nigeria,6,NA,NA,NA,NA,2,19,NA,3,3
1962,Norway,6,NA,NA,NA,NA,2,21,NA,4,6
1962,Oman,NA,NA,NA,NA,NA,NA,1,NA,NA,1
1962,Pakistan,5,NA,NA,NA,NA,1,12,NA,1,1
1962,Panama,5,NA,NA,NA,NA,2,15,NA,1,3
1962,Paraguay,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Peru,1,NA,NA,NA,NA,1,5,NA,3,1
1962,Philippines,5,NA,NA,NA,NA,2,16,NA,4,3
1962,Poland,2,NA,NA,NA,NA,1,4,NA,1,1
1962,Portugal,2,NA,NA,NA,NA,1,2,NA,1,1
1962,Romania,3,NA,NA,NA,NA,1,4,NA,1,1
1962,Russia (USSR),2,NA,NA,NA,NA,1,4,NA,1,1
1962,Rwanda,NA,NA,NA,NA,NA,1,6,NA,4,1
1962,Saudi Arabia,1,NA,NA,NA,NA,1,1,NA,1,1
1962,Senegal,3,NA,NA,NA,NA,1,7,NA,3,1
1962,Sierra Leone,NA,NA,NA,NA,NA,2,17,NA,4,4
1962,Somalia,6,NA,NA,NA,NA,2,18,NA,4,2
1962,South Africa,4,NA,NA,NA,NA,1,15,NA,1,1
1962,Spain,1,NA,NA,NA,NA,1,4,NA,1,1
1962,Sri Lanka,6,NA,NA,NA,NA,2,18,NA,4,4
1962,Sudan,1,NA,NA,NA,NA,1,4,NA,1,1
1962,Sweden,6,NA,NA,NA,NA,2,21,NA,4,6
1962,Switzerland,6,NA,NA,NA,NA,2,21,NA,4,6
1962,Syria,1,NA,NA,NA,NA,1,9,NA,1,1
1962,Taiwan,NA,NA,NA,NA,NA,1,3,NA,1,1
1962,Tanzania,NA,NA,NA,NA,NA,1,5,NA,4,1
1962,Thailand,1,NA,NA,NA,NA,1,4,NA,1,1
1962,Togo,3,NA,NA,NA,NA,1,5,NA,1,1
1962,Trinidad,NA,NA,NA,NA,NA,2,19,NA,4,4
1962,Tunisia,3,NA,NA,NA,NA,1,2,NA,1,1
1962,Turkey,5,NA,NA,NA,NA,2,20,NA,4,5
1962,Uganda,NA,NA,NA,NA,NA,1,18,NA,3,2
1962,United Kingdom,6,NA,NA,NA,NA,2,21,NA,4,6
1962,United States,7,NA,NA,NA,NA,2,21,NA,4,5
1962,Uruguay,7,NA,NA,NA,NA,2,19,NA,4,6
1962,Venezuela,5,NA,NA,NA,NA,2,17,NA,4,5
1962,Vietnam North,3,NA,NA,NA,NA,NA,3,NA,1,1
1962,Vietnam South,4,NA,NA,NA,NA,NA,8,NA,1,1
1962,Western Samoa,NA,NA,NA,NA,NA,1,NA,NA,NA,1
1962,Yemen North,1,NA,NA,NA,NA,1,11,NA,1,1
1962,Yugoslavia (Serbia),4,NA,NA,NA,NA,1,4,NA,1,1
1963,Afghanistan,2,NA,NA,NA,NA,1,1,NA,1,1
1963,Albania,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Algeria,NA,NA,NA,NA,NA,1,3,NA,1,1
1963,Argentina,4,NA,NA,NA,NA,2,10,NA,3,6
1963,Australia,6,NA,NA,NA,NA,2,21,NA,4,6
1963,Austria,7,NA,NA,NA,NA,2,21,NA,4,7
1963,Belgium,7,NA,NA,NA,NA,2,21,NA,4,7
1963,Benin,1,NA,NA,NA,NA,1,10,NA,4,1
1963,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,1
1963,Bolivia,5,NA,NA,NA,NA,1,8,NA,3,2
1963,Brazil,5,NA,NA,NA,NA,2,14,NA,4,3
1963,Bulgaria,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Burkina Faso,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Burundi,NA,NA,NA,NA,NA,1,8,NA,1,1
1963,Cambodia,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Cameroon,3,NA,NA,NA,NA,1,5,NA,1,2
1963,Canada,6,NA,NA,NA,NA,2,21,NA,4,5
1963,Central African Republic,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Chad,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Chile,6,NA,NA,NA,NA,2,16,NA,4,3
1963,China,3,NA,NA,NA,NA,1,3,NA,1,1
1963,Colombia,5,NA,NA,NA,NA,2,18,NA,4,2
1963,Congo Brazzaville,3,NA,NA,NA,NA,1,4,NA,4,1
1963,Congo Kinshasa,2,NA,NA,NA,NA,1,8,NA,1,1
1963,Costa Rica,6,3,NA,NA,NA,2,21,NA,4,3
1963,Cote d'Ivoire,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Cuba,1,NA,NA,NA,NA,1,4,NA,1,1
1963,Cyprus,6,NA,NA,NA,NA,1,11,NA,NA,4
1963,Czechoslovakia,2,NA,NA,NA,NA,1,4,NA,1,1
1963,Denmark,6,NA,NA,NA,NA,2,21,NA,4,7
1963,Dominican Rep,1,NA,NA,NA,NA,1,11,NA,4,1
1963,Ecuador,1,NA,NA,NA,NA,1,10,NA,3,1
1963,Egypt,3,NA,NA,NA,NA,1,4,NA,1,1
1963,El Salvador,4,1,NA,NA,NA,1,8,NA,1,1
1963,Ethiopia,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Finland,6,NA,NA,NA,NA,2,21,NA,4,6
1963,France,6,NA,NA,NA,NA,2,16,NA,4,2
1963,Gabon,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Germany East,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Germany West,6,NA,NA,NA,NA,2,21,NA,4,7
1963,Ghana,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Greece,6,NA,NA,NA,NA,2,15,NA,3,6
1963,Guatemala,1,1,NA,NA,NA,1,6,NA,1,1
1963,Guinea,3,NA,NA,NA,NA,1,2,NA,1,1
1963,Haiti,2,NA,NA,NA,NA,1,2,NA,1,1
1963,Honduras,1,2,NA,NA,NA,1,10,NA,3,1
1963,Hungary,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Iceland,6,NA,NA,NA,NA,2,NA,NA,NA,6
1963,India,6,NA,NA,NA,NA,2,20,NA,4,3
1963,Indonesia,2,NA,NA,NA,NA,1,6,NA,1,1
1963,Iran,3,NA,NA,NA,NA,1,1,NA,1,1
1963,Iraq,1,NA,NA,NA,NA,1,6,NA,1,1
1963,Ireland,6,NA,NA,NA,NA,2,21,NA,4,5
1963,Israel,6,NA,NA,NA,NA,2,21,NA,4,7
1963,Italy,6,NA,NA,NA,NA,2,21,NA,4,8
1963,Jamaica,NA,NA,NA,NA,NA,2,21,NA,4,4
1963,Japan,7,NA,NA,NA,NA,2,21,NA,NA,4
1963,Jordan,2,NA,NA,NA,NA,1,2,NA,1,1
1963,Kenya,NA,NA,NA,NA,NA,1,13,NA,4,2
1963,Korea North,3,NA,NA,NA,NA,1,3,NA,1,1
1963,Korea South,4,NA,NA,NA,NA,1,14,NA,1,5
1963,Kuwait,NA,NA,NA,NA,NA,1,3,NA,1,1
1963,Laos,4,NA,NA,NA,NA,1,11,NA,1,1
1963,Lebanon,5,NA,NA,NA,NA,2,13,NA,3,4
1963,Liberia,3,NA,NA,NA,NA,1,5,NA,1,1
1963,Libya,2,NA,NA,NA,NA,1,4,NA,1,1
1963,Luxembourg,6,NA,NA,NA,NA,2,NA,NA,NA,7
1963,Madagascar,5,NA,NA,NA,NA,1,10,NA,4,1
1963,Malaysia,5,NA,NA,NA,NA,1,21,NA,4,3
1963,Mali,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Mauritania,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Mexico,4,NA,NA,NA,NA,1,5,NA,1,1
1963,Mongolia,3,NA,NA,NA,NA,1,4,NA,1,1
1963,Morocco,4,NA,NA,NA,NA,1,8,NA,1,1
1963,Myanmar (Burma),1,NA,NA,NA,NA,1,4,NA,1,1
1963,Nepal,2,NA,NA,NA,NA,1,2,NA,1,1
1963,Netherlands,6,NA,NA,NA,NA,2,21,NA,4,8
1963,New Zealand,7,NA,NA,NA,NA,2,21,NA,4,6
1963,Nicaragua,5,1,NA,NA,NA,1,3,NA,1,1
1963,Niger,3,NA,NA,NA,NA,1,4,NA,1,1
