year,count,cowcode,Static_median,Static_975,Static_025,Dynamic_median,Dynamic_975,Dynamic_025,Robust_median,Robust_975,Robust_025,UDS_mean,UDS_sd,UDS_median,UDS_025,UDS_975
1946,Lebanon,660,0.140571156,0.451488024,-0.154441509,0.011723416,0.26361132,-0.226742239,-0.072578147,0.092198439,-0.244296686,0.117335851,0.175098257,0.117256016,-0.225128778,0.471436853
1946,Liberia,450,-0.630122649,-0.193726104,-1.192234046,-0.699598126,-0.433321005,-0.982495585,-1.213904169,-1.009582345,-1.405378574,-0.70678283,0.261587158,-0.696742547,-1.245914895,-0.221961628
1946,Luxembourg,212,1.311855919,2.024850767,0.540342616,2.061043322,2.662512675,1.492297111,3.041666955,3.666432889,2.39986955,1.41718591,0.347453353,1.401500807,0.780417951,2.116110977
1946,Mexico,70,-0.628281451,-0.185451801,-1.195321821,-0.692975015,-0.431679863,-0.954440142,-1.210855306,-1.013270904,-1.410650662,-0.703392521,0.263157931,-0.69910983,-1.232823596,-0.224626203
1946,Mongolia,712,-1.302397073,-0.652857487,-1.899452653,-1.501506985,-1.176941435,-1.84751414,-2.174275299,-1.914318564,-2.443408345,-1.291977283,0.325886208,-1.288546175,-1.933130413,-0.670733378
1946,Nepal,790,-0.467731682,-0.074812637,-1.011739276,-0.494339829,-0.252907826,-0.782453118,-0.792972159,-0.610476139,-0.967212262,-0.568625791,0.249702151,-0.556843443,-1.10061855,-0.106868622
1946,Netherlands,210,1.4230527,2.113688324,0.825069124,2.104315667,2.686953769,1.536156407,3.228095406,3.864367115,2.583301629,1.425052512,0.344003853,1.413209184,0.796789941,2.147397032
1946,New Zealand,920,1.428461135,2.119400885,0.817179598,1.912572453,2.479365284,1.400017588,2.654645363,3.289975383,2.085162231,1.421856818,0.342523699,1.406569369,0.794529109,2.122175902
1946,Nicaragua,93,-1.091279585,-0.51921521,-1.654836933,-1.246629222,-0.969919208,-1.533018342,-1.903005365,-1.69849848,-2.101851974,-1.102279871,0.299838208,-1.09490982,-1.706039271,-0.531848703
1946,Norway,385,1.213581955,1.856042188,0.682089445,1.677389757,2.185370949,1.256527015,2.421134436,2.9782254,1.977691257,1.227573497,0.321104377,1.210147704,0.638856996,1.893877232
1946,Panama,95,-0.474641142,-0.063449941,-1.05956208,-0.439613682,-0.184985867,-0.695649301,-0.755519113,-0.589844324,-0.930981756,-0.564500923,0.248866063,-0.551970555,-1.082736857,-0.114048901
1946,Paraguay,150,-1.306615242,-0.649544377,-1.912871478,-1.048033783,-0.676047651,-1.420715637,-2.098077237,-1.866726126,-2.397740322,-1.28840566,0.318803624,-1.281421267,-1.90594841,-0.68189135
1946,Peru,135,0.088308771,0.410603376,-0.223587815,-0.060536668,0.187386911,-0.301022862,-0.082555714,0.083104123,-0.24721809,0.045334676,0.180688383,0.044720091,-0.311493863,0.397468
1946,Philippines,840,0.139831892,0.442182333,-0.146079049,0.006857924,0.258210263,-0.222243545,-0.072117306,0.088976124,-0.242352845,0.11568505,0.177400416,0.113270054,-0.220425808,0.464608195
1946,Poland,290,-0.522810136,-0.074348377,-1.047626505,-0.670508466,-0.410185204,-0.977081541,-1.053228005,-0.876929233,-1.231962397,-0.58604736,0.275431916,-0.576742214,-1.156521922,-0.073816005
1946,Portugal,235,-1.296753476,-0.657609392,-1.900807727,-1.498018702,-1.173999604,-1.837388316,-2.17021862,-1.916084538,-2.433350711,-1.301646148,0.319242425,-1.302068809,-1.929517993,-0.675467056
1946,Romania,360,-0.554571348,-0.108345216,-1.073158665,-0.899287471,-0.594528306,-1.225370002,-1.522337521,-1.267472795,-1.822538008,-0.609660715,0.235354754,-0.599245201,-1.093239649,-0.164291829
1946,Russia (USSR),365,-1.308222974,-0.636930014,-1.929130523,-1.498912612,-1.173602955,-1.840672627,-2.165245193,-1.916545445,-2.444220858,-1.295321083,0.322879488,-1.298947413,-1.936392468,-0.676389034
1946,Saudi Arabia,670,-1.848385512,-1.011381673,-2.977652749,-2.259862054,-1.715938081,-3.054846949,-3.138798417,-2.478636419,-3.927337189,-1.860627503,0.473058774,-1.811736543,-2.932139559,-1.066329941
1946,South Africa,560,-0.288572331,0.078165004,-0.85191106,-0.028793113,0.219229514,-0.313466845,0.174555719,0.357923573,-0.008790332,-0.34392005,0.222038529,-0.334911283,-0.797160683,0.076852413
1946,Spain,230,-0.848086824,-0.306042243,-1.443861561,-0.992811959,-0.676020599,-1.321778461,-1.581890693,-1.308401629,-1.852639379,-0.901273289,0.296439183,-0.88887525,-1.514516113,-0.351466386
1946,Sweden,380,1.207162773,1.848535687,0.696956468,1.774859096,2.33666896,1.317809291,2.612331007,3.192021279,2.059877109,1.221620538,0.315141748,1.203349702,0.65145755,1.889217352
1946,Switzerland,225,1.068096137,1.722965431,0.569587112,1.587986278,2.071059043,1.205501217,2.293381199,2.826344017,1.907281522,1.087956283,0.292863705,1.074501035,0.559147606,1.700485221
1946,Syria,652,-0.263136234,0.108588822,-0.824804475,0.039047137,0.298568088,-0.253604559,0.392495621,0.573675625,0.207754011,-0.302198954,0.214615866,-0.293432149,-0.75034533,0.097818038
1946,Thailand,800,-0.194712377,0.157095148,-0.594205055,-0.385697747,-0.131758081,-0.634595518,-0.75272708,-0.58331191,-0.921337909,-0.254872838,0.197663281,-0.254879415,-0.644094179,0.119642693
1946,Turkey,640,0.013740773,0.326604674,-0.313844432,0.34551059,0.612578168,0.05571383,0.864013698,1.070002142,0.676695398,-0.00247974,0.173421779,0.002893102,-0.356644454,0.330465494
1946,United Kingdom,200,1.067465832,1.7058902,0.583111403,1.542247648,2.001044828,1.178695699,2.283933983,2.81383434,1.911792393,1.098052853,0.294988557,1.081061216,0.551509003,1.704904189
