"prob.shock","innov","type","data.id","gel","gew","intra.ranks","ranks","crossclass","crossclass.shocked","rmse","T..24","T..23","T..22","T..21","T..20","T..19","T..18","T..17","T..16","T..15","T..14","T..13","T..12","T..11","T..10","T..9","T..8","T..7","T..6","T..5","T..4","T..3","T..2","T..1","T.0","T.1","T.2","T.3","T.4","T.5","T.6","T.7","T.8","T.9","T.10","T.11","T.12","T.13","T.14","T.15","T.16","T.17","T.18","T.19","T.20","T.21","T.22","T.23","T.24"
0.01,0.05,"rob_dof",119,23,0.091,0.423673469387755,0.864489795918367,0.981160546012987,0.970588235294118,0.173016539714814,1,1,1,1,1,1,1,1,0.947368421052632,0.842105263157895,0.85,0.9,0.952380952380952,0.952380952380952,0.904761904761905,0.909090909090909,0.863636363636364,0.88,0.92,0.961538461538462,0.923076923076923,0.888888888888889,0.925925925925926,0.892857142857143,0.928571428571429,0.925925925925926,1,1,1,1,0.952380952380952,0.95,0.947368421052632,0.882352941176471,0.9375,0.9375,0.9375,0.933333333333333,0.857142857142857,0.846153846153846,0.846153846153846,0.909090909090909,0.9,0.9,0.9,0.888888888888889,1,1,1
0,0.05,"rob_dof",50,0,0.0338,0.240816326530612,0.87265306122449,0.996823293504127,NA,0.071145270820301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.01,"rob_dof",7,0,0.011,0.0775510204081633,0.830204081632653,0.944254070356206,NA,0.052857171874842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.01,"rob_dof",19,0,6e-04,0.136326530612245,0.895510204081633,1,NA,0.0523843558154577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.01,"rob_dof",152,63,0.1292,0.593469387755102,0.773061224489796,0.863520047571047,0.853139013452915,0.666846879610255,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964285714285714,0.970588235294118,0.972222222222222,0.977272727272727,0.981481481481482,1,0.988636363636364,0.972727272727273,0.977272727272727,0.961538461538462,0.949438202247191,0.895397489539749,0.95906432748538,0.986486486486487,0.976190476190476,0.970873786407767,0.976744186046512,0.971830985915493,0.982142857142857,0.979166666666667,0.976190476190476,0.971428571428571,1,1,1,0.928571428571429,0.928571428571429,0.909090909090909,0.9,0.875,0.857142857142857,0.857142857142857,1,1,1,1
0,0.1,"rob_dof",65,47,0.2416,0.479183673469388,0.898775510204082,0.748832771872147,NA,0.136218163208775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.1,"rob_dof",64,6,0.2136,0.42530612244898,0.833469387755102,0.909806446031522,NA,0.132637017652707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.01,"rob_dof",22,0,0.1228,0.116734693877551,0.915102040816327,0.935077894326446,NA,0.0523243088179369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.01,"robust",10,0,0.0982,0.036734693877551,0.923265306122449,0.995209043337403,NA,0.0154452394240876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.05,"rob_dof",106,43,0.1626,0.40734693877551,0.830204081632653,0.944003142844598,0.96,0.192369219084175,0.5,0.5,0.5,0.5,0.5,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.625,0.8,0.75,0.769230769230769,0.785714285714286,0.785714285714286,0.857142857142857,0.857142857142857,0.714285714285714,0.8,0.764705882352941,0.833333333333333,0.789473684210526,0.789473684210526,0.75,0.619047619047619,0.65,0.7,0.684210526315789,0.722222222222222,0.764705882352941,0.764705882352941,0.6875,0.733333333333333,0.785714285714286,0.785714285714286,0.714285714285714,0.714285714285714,0.714285714285714,0.769230769230769,0.75,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.727272727272727
