"justiceName","term","id","justice","Robust_mean","Robust_975","Robust_025","Dynamic_mean","Dynamic_975","Dynamic_025","MQ_mean","MQ_sd","MQ_median","MQ_025","MQ_975"
"AMKennedy",2002,"AMKennedy-2002",106,1.14431659454845,1.73452117253953,0.623990764665891,1.15817394772788,1.72644294894979,0.606515937116331,0.883,0.236,0.881,0.431,1.36
"AMKennedy",2003,"AMKennedy-2003",106,1.00576178220767,1.55923742072765,0.48956682401313,0.998159959743922,1.543846412456,0.477398697441078,0.747,0.227,0.745,0.31,1.196
"AMKennedy",2004,"AMKennedy-2004",106,0.807021057529883,1.29305763170985,0.290218516930271,0.78435410841222,1.33580240763767,0.291431708172697,0.539,0.22,0.534,0.117,0.991
"AMKennedy",2005,"AMKennedy-2005",106,0.741494868240978,1.2536810475494,0.223151058759687,0.718513263601359,1.24163458283934,0.208888496816157,0.487,0.223,0.483,0.05,0.938
"AMKennedy",2006,"AMKennedy-2006",106,0.683426079939918,1.16169631484407,0.206866431406975,0.654629315010805,1.13987136333738,0.16856326310535,0.444,0.206,0.44,0.049,0.864
"AMKennedy",2007,"AMKennedy-2007",106,0.64470082658145,1.13539000286652,0.175329411820738,0.61031186058599,1.13284965775939,0.0956518623729973,0.396,0.219,0.394,-0.024,0.831
"AMKennedy",2008,"AMKennedy-2008",106,0.728603297433873,1.19020979827541,0.283020245032775,0.732399942262891,1.24628405488515,0.234075245657009,0.554,0.201,0.551,0.166,0.959
"AMKennedy",2009,"AMKennedy-2009",106,0.693823999499476,1.16866346589088,0.223958301624935,0.694346707067469,1.20436279705548,0.203045353870859,0.517,0.216,0.511,0.101,0.948
"AMKennedy",2010,"AMKennedy-2010",106,0.679456576884114,1.17351274878908,0.208275748012559,0.712241190474046,1.21239302162013,0.238022487907075,0.579,0.21,0.577,0.17,0.999
"AMKennedy",2011,"AMKennedy-2011",106,0.446512095549318,0.933297496684343,-0.0367368704844341,0.428955600578239,0.921278392182613,-0.0395197752704916,0.295,0.208,0.292,-0.114,0.709
